cluster[object],x[int64],y[int64],cell[int64],center[object]
c1,50,65,1565,N
c1,51,20,1570,N
c1,73,68,1574,N
c1,55,15,1575,N
c1,49,4,1576,N
c1,74,58,1579,N
c1,48,123,1580,N
c1,61,81,1581,N
c1,55,17,1583,N
c1,80,50,1584,N
c1,51,105,1589,N
c1,53,111,1590,N
c1,54,114,1592,N
c1,48,118,1595,N
c1,69,70,1596,N
c1,79,43,1599,N
c1,54,22,1602,N
c1,74,67,1603,N
c1,55,75,1604,N
c1,52,125,1606,N
c1,56,15,1611,N
c1,50,107,1613,N
c1,55,21,1618,N
c1,68,108,1619,N
c1,64,97,1620,N
c1,49,1,1623,N
c1,52,123,1626,N
c1,74,52,1628,N
c1,52,18,1629,N
c1,49,117,1633,N
c1,46,103,1635,N
c1,70,63,1637,N
c1,50,125,1638,N
c1,49,8,1639,N
c1,71,54,1642,N
c1,52,25,1643,N
c1,53,57,1644,N
c1,47,103,1647,N
c1,51,19,1649,N
c1,72,33,1651,N
c1,55,16,1655,N
c1,51,18,1656,N
c1,58,16,1657,N
c1,48,101,1658,N
c1,58,80,1662,N
c1,72,64,1665,N
c1,55,113,1667,N
c1,73,52,1668,N
c1,48,106,1669,N
c1,50,20,1670,N
c1,79,56,1674,N
c1,48,119,1675,N
c1,85,65,1676,N
c1,69,63,1678,N
c1,50,106,1679,N
c1,55,65,1680,N
c1,55,58,1682,N
c1,66,102,1684,N
c1,52,71,1686,N
c1,79,63,1689,N
c1,55,14,1690,N
c1,47,77,1691,N
c1,49,127,1695,N
c1,49,122,1697,N
c1,48,103,1698,N
c1,49,25,1699,N
c1,52,76,1701,N
c1,49,9,1702,N
c1,53,74,1704,N
c1,47,29,1705,N
c1,49,125,1709,N
c1,78,63,1711,N
c1,78,47,1712,N
c1,52,20,1715,N
c1,48,11,1716,N
c1,51,119,1717,N
c1,75,46,1719,N
c1,50,19,1722,N
c1,49,112,1724,N
c1,51,68,1727,N
c1,44,101,1729,N
c1,69,105,1730,N
c1,53,94,1734,N
c1,58,37,1738,N
c1,58,39,1741,N
c1,48,115,1742,N
c1,49,15,1744,N
c1,50,1,1745,N
c1,52,107,1748,N
c1,53,23,1749,N
c1,61,114,1750,N
c1,49,23,1751,N
c1,79,69,1752,N
c1,49,11,1754,N
c1,53,110,1756,N
c1,50,12,1757,N
c1,77,48,1759,N
c1,52,78,1760,N
c1,49,17,1761,N
c1,73,49,1762,N
c1,60,107,1764,N
c1,45,100,1768,N
c1,68,117,1769,N
c1,63,6,1770,N
c1,49,67,1772,N
c1,73,45,1778,N
c1,53,80,1779,N
c1,51,16,1781,N
c1,70,33,1782,N
c1,66,37,1783,N
c1,49,5,1784,N
c1,58,15,1788,N
c1,51,27,1789,N
c1,52,26,1793,N
c1,60,121,1794,N
c1,52,83,1795,N
c1,50,25,1797,N
c1,50,0,1799,N
c1,54,76,1800,N
c1,50,28,1803,N
c1,57,46,1806,N
c1,55,91,1808,N
c1,72,50,1809,N
c1,61,55,1811,N
c1,58,79,1812,N
c1,62,126,1814,N
c1,49,12,1816,N
c1,53,62,1818,N
c1,52,110,1819,N
c1,53,26,1820,N
c1,55,118,1823,N
c1,49,118,1824,N
c1,60,22,1825,N
c1,72,44,1828,N
c1,48,7,1829,N
c1,44,100,1830,N
c1,52,27,1831,N
c1,47,30,1832,N
c1,52,58,1835,N
c1,49,29,1836,N
c1,81,65,1839,N
c1,45,102,1840,N
c1,46,107,1841,N
c1,64,104,1844,N
c1,51,60,1845,N
c1,52,106,1846,N
c1,49,126,1847,N
c1,46,106,1848,N
c1,50,29,1849,N
c1,48,120,1851,N
c1,62,27,1853,N
c1,77,43,1855,N
c1,56,44,1857,N
c1,42,100,1858,N
c1,49,16,1859,N
c1,58,22,1861,N
c1,50,48,1862,N
c1,50,57,1863,N
c1,49,6,1865,N
c1,50,78,1868,N
c1,66,78,1870,N
c1,51,125,1873,N
c1,51,109,1874,N
c1,49,22,1875,N
c1,64,72,1876,N
c1,79,61,1878,N
c1,49,30,1881,N
c1,50,22,1883,N
c1,53,27,1884,N
c1,49,105,1887,N
c1,52,29,1890,N
c1,76,45,1892,N
c1,82,51,1894,N
c1,48,4,1895,N
c1,51,29,1896,N
c1,54,27,1897,N
c1,58,35,1898,N
c1,55,40,1899,N
c1,67,80,1900,N
c1,70,61,1906,N
c1,80,47,1910,N
c1,63,72,1911,N
c1,84,60,1913,N
c1,85,58,1914,N
c1,82,55,1915,N
c1,52,28,1916,N
c1,53,28,1917,N
c1,51,21,1919,N
c1,69,92,1920,N
c1,46,100,1921,N
c1,47,54,1922,N
c1,49,76,1926,N
c1,68,93,1927,N
c1,63,80,1929,N
c1,47,112,1930,N
c1,61,98,1932,N
c1,50,51,1933,N
c1,75,44,1935,N
c1,53,24,1936,N
c1,49,113,1939,N
c1,77,61,1941,N
c1,67,34,1944,N
c1,51,92,1945,N
c1,64,54,1947,N
c1,55,90,1948,N
c1,51,104,1949,N
c1,53,95,1951,N
c1,47,105,1952,N
c1,48,85,1954,N
c1,53,116,1955,N
c1,48,75,1956,N
c1,50,62,1958,N
c1,51,72,1960,N
c1,61,119,1961,N
c1,78,71,1962,N
c1,51,30,1965,N
c1,42,99,1968,N
c1,33,15,1969,N
c1,50,30,1970,N
c1,76,52,1971,N
c1,67,26,1973,N
c1,69,54,1975,N
c1,47,108,1976,N
c1,49,13,1977,N
c1,48,3,1979,N
c1,49,7,1986,N
c1,49,31,1988,N
c1,78,66,1991,N
c1,48,2,1992,N
c1,52,64,1993,N
c1,50,112,1994,N
c1,76,49,1995,N
c1,63,125,1997,N
c1,51,83,1998,N
c1,51,103,1999,N
c1,51,17,2000,N
c1,47,125,2001,N
c1,49,82,2004,N
c1,67,115,2005,N
c1,76,67,2008,N
c1,66,9,2010,N
c1,71,10,2011,N
c1,55,70,2014,N
c1,48,64,2015,N
c1,64,59,2016,N
c1,70,10,2017,N
c1,75,71,2018,N
c1,84,57,2020,N
c1,49,106,2021,N
